"Harold A. Davis / Lester Dent","The Purple Dragon","Sep, 1940","1940"
"Harold A. Davis","Devils of the Deep","Oct, 1940","1940"
"William G. Bogart","The Awful Dynasty","Nov, 1940","1940"
"Lester Dent","The Men Vanished","Dec, 1940","1940"
"Alan Hathway","The Devil's Playground","Jan, 1941","1941"
"William G. Bogart","Bequest of Evil","Feb, 1941","1941"
"Lester Dent","The All-White Elf","Mar, 1941","1941"
"Lester Dent","The Golden Man","Apr, 1941","1941"
"Lester Dent","The Pink Lady","May, 1941","1941"
"Alan Hathway","The Headless Men","Jun, 1941","1941"
"Lester Dent","The Green Eagle","Jul, 1941","1941"
"Lester Dent","Mystery Island","Aug, 1941","1941"
"Alan Hathway","The Mindless Monsters","Sep, 1941","1941"
"Lester Dent","Birds of Death","Oct, 1941","1941"
"Lester Dent","The Invisible Box Murders / The Invisible-Box Murders","Nov, 1941","1941"
"Lester Dent","Peril in the North","Dec, 1941","1941"
"Alan Hathway","The Rustling Death","Jan, 1942","1942"
"Evelyn Coulson / Lester Dent","Men of Fear","Feb, 1942","1942"
"Lester Dent","The Too-Wise Owl","Mar, 1942","1942"
"William G. Bogart / Lester Dent","The Magic Forest","Apr, 1942","1942"
"Lester Dent","Pirate Isle","May, 1942","1942"
"Lester Dent","The Speaking Stone","Jun, 1942","1942"
"Lester Dent","The Man Who Fell Up","Jul, 1942","1942"
"Lester Dent","The Three Wild Men","Aug, 1942","1942"
"Lester Dent","The Fiery Menace","Sep, 1942","1942"
"Lester Dent","The Laugh of Death","Oct, 1942","1942"
"Lester Dent","They Died Twice","Nov, 1942","1942"
"Lester Dent","The Devil's Black Rock","Dec, 1942","1942"
"Lester Dent","The Time Terror","Jan, 1943","1943"
"Lester Dent","Waves of Death","Feb, 1943","1943"
"Lester Dent","The Black, Black Witch","Mar, 1943","1943"
"Lester Dent","The King of Terror","Apr, 1943","1943"
"Lester Dent","The Talking Devil","May, 1943","1943"
"Lester Dent","The Running Skeletons","Jun, 1943","1943"
"Lester Dent","Mystery on Happy Bones","Jul, 1943","1943"
"Lester Dent","The Mental Monster","Aug, 1943","1943"
"Lester Dent","Hell Below","Sep, 1943","1943"
"Lester Dent","The Goblins","Oct, 1943","1943"
"Lester Dent","The Secret of the Su","Nov, 1943","1943"
"Lester Dent","The Spook of Grandpa Eben","Dec, 1943","1943"
"Lester Dent","According to Plan of a One-Eyed Mystic / One-Eyed Mystic","Jan, 1944","1944"
"Lester Dent","Death Had Yellow Eyes","Feb, 1944","1944"
"Lester Dent","The Derelict of Skull Shoal","Mar, 1944","1944"
"Lester Dent","The Whisker of Hercules","Apr, 1944","1944"
"Lester Dent","The Three Devils","May, 1944","1944"
"Lester Dent","The Pharoah's Ghost / The Pharaoh's Ghost","Jun, 1944","1944"
"Lester Dent","The Man Who Was Scared","Jul, 1944","1944"
"Lester Dent","The Shape of Terror","Aug, 1944","1944"
"Lester Dent","Weird Valley","Sep, 1944","1944"
"Lester Dent","Jiu San","Oct, 1944","1944"
"Lester Dent","Satan Black","Nov, 1944","1944"
"Lester Dent","The Lost Giant","Dec, 1944","1944"
"Lester Dent","Violent Night / The Hate Genius","Jan, 1945","1945"
"Lester Dent","Strange Fish","Feb, 1945","1945"
"Lester Dent","The Ten Ton Snakes","Mar, 1945","1945"
"Lester Dent","Cargo Unknown","Apr, 1945","1945"
"Lester Dent","Rock Sinister","May, 1945","1945"
"Lester Dent","The Terrible Stork","Jun, 1945","1945"
"Lester Dent","King Joe Cay","Jul, 1945","1945"
"Lester Dent","The Wee Ones","Aug, 1945","1945"
"Lester Dent","Terror Takes 7","Sep, 1945","1945"
"Lester Dent","The Thing That Pursued","Oct, 1945","1945"
"Lester Dent","Trouble on Parade","Nov, 1945","1945"
"Lester Dent","The Screaming Man","Dec, 1945","1945"
"Lester Dent","Measures for a Coffin","Jan, 1946","1946"
"Lester Dent","Se-Pah-Poo","Feb, 1946","1946"
"Lester Dent","Terror and the Lonely Widow","Mar, 1946","1946"
"Lester Dent","Five Fathoms Dead","Apr, 1946","1946"
"Lester Dent","Death is a Round Black Spot","May, 1946","1946"
"Lester Dent","Colors for Murder","Jun, 1946","1946"
"William G. Bogart / Lester Dent","Fire and Ice","Jul, 1946","1946"
"Lester Dent","Three Times a Corpse","Aug, 1946","1946"
"Harold A. Davis / Lester Dent","The Exploding Lake","Sep, 1946","1946"
